dns1.p06.nsone.net.	198.51.44.6
2620:4d:4000:6259:7:6:0:1	1635553161
dns2.p06.nsone.net.	198.51.45.6
2a00:edc0:6259:7:6::2	1635553161
dns3.p06.nsone.net.	198.51.44.70
2620:4d:4000:6259:7:6:0:3	1635553161
dns4.p06.nsone.net.	198.51.45.70
2a00:edc0:6259:7:6::4	1635553161
ns01.rbxinfra.net.	157.53.225.1
2607:f740:e00b::1	1635553161
ns02.rbxinfra.net.	157.53.225.65
2607:f740:e00b:4::1	1635553161
ns03.rbxinfra.net.	157.53.225.129
2607:f740:e00b:8::1	1635553161
ns04.rbxinfra.net.	157.53.225.193
2607:f740:e00b:c::1	1635553161
